scene,tmo,jod,jod_low,jod_high
DarkOnePiece,c1,4.31557320822412,4.31557320822412,4.31557320822412
DarkOnePiece,c2,0.649463254306057,0.649463254306057,0.649463254306057
DarkOnePiece,c3,-0.410804338429891,-0.410804338429891,-0.410804338429891
DarkOnePiece,c4,-2.08436275488396,-2.08436275488396,-2.08436275488396
DarkOnePiece,c5,-2.47043155140749,-2.47043155140749,-2.47043155140749
DayTable,c1,2.69651333636321,2.69651333636321,2.69651333636321
DayTable,c2,1.62972549516544,1.62972549516544,1.62972549516544
DayTable,c3,-0.306457276010388,-0.306457276010388,-0.306457276010388
DayTable,c4,-0.172924091068082,-0.172924091068082,-0.172924091068082
DayTable,c5,-3.84285365005673,-3.84285365005673,-3.84285365005673
