scene,tmo,jod,jod_low,jod_high
DarkOnePiece,c1,3.78820861404804,3.78820861404804,3.78820861404804
DarkOnePiece,c2,0.598468267846835,0.598468267846835,0.598468267846835
DarkOnePiece,c3,-0.311830943584827,-0.311830943584827,-0.311830943584827
DarkOnePiece,c4,-1.96629819796455,-1.96629819796455,-1.96629819796455
DarkOnePiece,c5,-2.10431312128837,-2.10431312128837,-2.10431312128837
DayTable,c1,2.38558731032727,2.38558731032727,2.38558731032727
DayTable,c2,1.49684350637138,1.49684350637138,1.49684350637138
DayTable,c3,-0.470505017803326,-0.470505017803326,-0.470505017803326
DayTable,c4,-0.0352681382553625,-0.0352681382553625,-0.0352681382553625
DayTable,c5,-3.37655325566095,-3.37655325566095,-3.37655325566095
